date,species,veg cover_percent,native
8/15/2018,Woolly Heads,0,native
8/15/2018,Sea Rocket,0,non-native
12/14/2018,Beach Evening Primrose,0.63,native
12/14/2018,Beach Bur Sage,0.24,native
12/14/2018,Beach Saltbush,1.21,native
12/14/2018,Red Sand Verbena,0.21,native
12/14/2018,Pink Sand Verbena,0.03,native
12/14/2018,Woolly Heads,0,native
12/14/2018,Sea Rocket,0,non-native
2/22/2019,Beach Evening Primrose,0.91,native
2/22/2019,Beach Bur Sage,0.96,native
2/22/2019,Beach Saltbush,0.98,native
2/22/2019,Red Sand Verbena,0.48,native
2/22/2019,Pink Sand Verbena,0,native
2/22/2019,Woolly Heads,0.04,native
2/22/2019,Sea Rocket,0,non-native
5/21/2019,Beach Evening Primrose,1.11,native
5/21/2019,Beach Bur Sage,0.2,native
5/21/2019,Beach Saltbush,0.95,native
5/21/2019,Red Sand Verbena,0.2,native
5/21/2019,Pink Sand Verbena,0.05,native
5/21/2019,Woolly Heads,0,native
5/21/2019,Sea Rocket,0,non-native
8/1/2019,Beach Evening Primrose,1.36,native
8/1/2019,Beach Bur Sage,0.233,native
8/1/2019,Beach Saltbush,1.175,native
8/1/2019,Red Sand Verbena,0.578,native
8/1/2019,Pink Sand Verbena,0.08,native
8/1/2019,Woolly Heads,0.117,native
8/1/2019,Sea Rocket,0,non-native
11/6/2019,Beach Evening Primrose,1.45,native
11/6/2019,Beach Bur Sage,0.22,native
11/6/2019,Beach Saltbush,2.04,native
11/6/2019,Red Sand Verbena,0.36,native
11/6/2019,Pink Sand Verbena,0.04,native
11/6/2019,Woolly Heads,0.05,native
11/6/2019,Sea Rocket,0,non-native
2/5/2020,Beach Evening Primrose,1.64,native
2/5/2020,Beach Bur Sage,0.07,native
2/5/2020,Beach Saltbush,1.63,native
2/5/2020,Red Sand Verbena,1.11,native
2/5/2020,Pink Sand Verbena,0,native
2/5/2020,Woolly Heads,0.09,native
2/5/2020,Sea Rocket,0,non-native
7/24/2020,Beach Evening Primrose,1.45,native
7/24/2020,Beach Bur Sage,0.19,native
7/24/2020,Beach Saltbush,1.11,native
7/24/2020,Red Sand Verbena,0.46,native
7/24/2020,Pink Sand Verbena,0.04,native
7/24/2020,Woolly Heads,0.03,native
7/24/2020,Sea Rocket,0,non-native
8/27/2020,Beach Evening Primrose,1.536,native
8/27/2020,Beach Bur Sage,0.17,native
8/27/2020,Beach Saltbush,0.647,native
8/27/2020,Red Sand Verbena,0.18,native
8/27/2020,Pink Sand Verbena,0.07,native
8/27/2020,Woolly Heads,0.1,native
8/27/2020,Sea Rocket,0,non-native
10/30/2020,Beach Evening Primrose,1.67,native
10/30/2020,Beach Bur Sage,0,native
10/30/2020,Beach Saltbush,0.71,native
10/30/2020,Red Sand Verbena,0.22,native
10/30/2020,Pink Sand Verbena,0,native
10/30/2020,Woolly Heads,0.08,native
10/30/2020,Sea Rocket,0,non-native
5/21/2021,Beach Evening Primrose,3.573,native
5/21/2021,Beach Bur Sage,0.64,native
5/21/2021,Beach Saltbush,0.934,native
5/21/2021,Red Sand Verbena,1.195,native
5/21/2021,Pink Sand Verbena,0,native
5/21/2021,Woolly Heads,0,native
5/21/2021,Sea Rocket,0.48,non-native
8/13/2021,Beach Evening Primrose,7.36,native
8/13/2021,Beach Bur Sage,0.38,native
8/13/2021,Beach Saltbush,1.85,native
8/13/2021,Red Sand Verbena,4.16,native
8/13/2021,Pink Sand Verbena,0,native
8/13/2021,Woolly Heads,0,native
8/13/2021,Sea Rocket,0,non-native
